,Property_ID,Property_Name,Property_Type,Property_Purpose,Baths,Bedrooms,City,Property_Location,Area,Area_Name,Properity_Price,Date_Added
0,Flat 40838072,F11 Markaz Abu Dhabi One Bedroom Tv Lounge Furnished Available For Sale,Flat,For Sale,1,1,Islamabad,"F-11, Islamabad, Islamabad Capital",4 ,F-11,9500000,28/12/2022
1,Flat 41913960,F11 Markaz  Park Avenue  3 Bedroom Lounge Dining Kitchen Available For Sale,Flat,For Sale,4,3,Islamabad,"F-11, Islamabad, Islamabad Capital",12 ,F-11,50000000,28/12/2022
2,Flat 41966694,Khudadad Height 2 Bedroom Big Tv Lounge Kitchen Flat Available For Sale,Flat,For Sale,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",7.2 ,E-11,9900000,28/12/2022
3,Flat 42834785,Capital Residencia One Bedroom Tv Lounge Kitchen Size 700sf For Sale,Flat,For Sale,1,1,Islamabad,"E-11, Islamabad, Islamabad Capital",3.1 ,E-11,20000000,28/12/2022
4,Flat 40941220,F11 Markaz  Tariq Height 2 Bedroom Big Drawing Dining Tv Lounge Kitchen Flat For Sale,Flat,For Sale,2,2,Islamabad,"F-11, Islamabad, Islamabad Capital",9.3 ,F-11,30000000,28/12/2022
5,Flat 43184596,Beautiful  Two Bed Apartment In  Gold Crest Views  2 On Prime Location In Dha Views 2 Islamabad,Flat,For Sale,2,2,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",5.6 ,DHA Defence,30000000,28/12/2022
6,Flat 43183949,Luxury One Bedroom Apartment for sale in DHA-2 Islamabad,Flat,For Sale,1,1,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",3.9 ,DHA Defence,7000000,28/12/2022
7,Flat 42354146,Highland Resort 1 Bed Service Apartment Available For Sale,Flat,For Sale,1,3,Islamabad,"Pir Sohawa, Islamabad, Islamabad Capital",2.6 ,Pir Sohawa,7500000,28/12/2022
8,House 42355079,"Find Your Ideal Prime Location House In Islamabad Under Rs. 39,000,000",House,For Sale,-,-,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",10 ,DHA Defence,40000000,24/12/2022
9,House 40797487,Sunset Homes House Sized 2250 Square Feet For Sale,House,For Sale,6,4,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",10 ,Bahria Town,40000000,27/12/2022
10,House 42643592,Sector H 5 Marla House For Sale,House,For Sale,4,3,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",5 ,Bahria Town,30000000,27/12/2022
11,House 43070196,Owner made house not used from 3 years available for sale,House,For Sale,6,5,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",20.0,DHA Defence,80000000,22/12/2022
12,House 42732069,On Installments Prime Location Golf Course View 1 Kanal House Urjently For Sale In Cluster G In Eighteen Islamabad,House,For Sale,6,5,Islamabad,"Kashmir Highway, Islamabad, Islamabad Capital",20.0,Kashmir Highway,100000000,22/12/2022
13,House 41569255,House For Sale Brand New,House,For Sale,5,4,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",24.0,Soan Garden,40000000,22/12/2022
14,House 38630532,An Architect Designed 25x50 Feet House In D-12 1 For Sale,House,For Sale,5,5,Islamabad,"D-12, Islamabad, Islamabad Capital",5 ,D-12,50000000,22/12/2022
