,Property_ID,Property_Name,Property_Type,Property_Purpose,Baths,Bedrooms,City,Property_Location,Area,Area_Name,Properity_Price,Date_Added
0,House 43169814,Like A Brand New Primary Location Luxury Furnished House For Rent,House,For Rent,7,6,Islamabad,"E-7, Islamabad, Islamabad Capital",28.0,E-7,1600000,27/12/2022
1,House 43169632,Luxurious House On Extremely Prime Location Available For Rent,House,For Rent,6,6,Islamabad,"F-7, Islamabad, Islamabad Capital",26.0,F-7,600000,27/12/2022
2,House 41751742,8 Bed Triple Storey House For Rent On 12 Marla Separate Gas Meter,House,For Rent,8,8,Islamabad,"Bani Gala, Islamabad, Islamabad Capital",12 ,Bani Gala,200000,27/12/2022
3,House 43169386,Primary Corner Location Beautiful House For Rent In F-8,House,For Rent,8,7,Islamabad,"F-8, Islamabad, Islamabad Capital",48.0,F-8,2000000,27/12/2022
4,House 43168984,3200usd Brand New Luxury House On Extremely Prime Location Available For Rent In Islamabad Pakistan,House,For Rent,6,6,Islamabad,"F-6, Islamabad, Islamabad Capital",36.0,F-6,700000,27/12/2022
5,House 43168895,Brand New Luxury House For Rent In F-7,House,For Rent,6,6,Islamabad,"F-7, Islamabad, Islamabad Capital",26.0,F-7,1300000,27/12/2022
6,House 43168815,Primary Location Luxury House With Lawn Available For Rent In 14000 Usd,House,For Rent,10,10,Islamabad,"F-8, Islamabad, Islamabad Capital",80.0,F-8,2800000,27/12/2022
7,House 43168710,5 Marla Brand New Luxury House For Rent In G-14/4 Islamabad,House,For Rent,4,4,Islamabad,"G-14, Islamabad, Islamabad Capital",5 ,G-14,100000,27/12/2022
8,House 42286182,14 Marla Brand New Luxury House For Rent In Ideal Location Of G13,House,For Rent,6,6,Islamabad,"G-13, Islamabad, Islamabad Capital",14 ,G-13,300000,27/12/2022
9,House 42820445,7 Marla Like Brand New Full House For Rent In G13-2 Islamabad,House,For Rent,4,4,Islamabad,"G-13, Islamabad, Islamabad Capital",7 ,G-13,200000,27/12/2022
10,House 43168566,Affordable House Available For rent In PWD Housing Scheme,House,For Rent,8,7,Islamabad,"PWD Housing Scheme, Islamabad, Islamabad Capital",14 ,PWD Housing Scheme,100000,27/12/2022
11,House 43168564,House For rent Situated In Soan Garden,House,For Rent,3,3,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",12 ,Soan Garden,50000,27/12/2022
12,House 43168561,Soan Garden House For rent Sized 14 Marla,House,For Rent,8,7,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",14 ,Soan Garden,200000,27/12/2022
