,Property_ID,Property_Name,Property_Type,Property_Purpose,Baths,Bedrooms,City,Property_Location,Area,Area_Name,Properity_Price,Date_Added
0,House 42545383,Brand New 5 Marla  House Near To Park Available For Rent,House,For Rent,3,3,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",5 ,Bahria Town,68000,24/12/2022
1,House 42579169,F10 Full House 4 Beds Rent 2 Lac Not Real Pic,House,For Rent,4,4,Islamabad,"F-10, Islamabad, Islamabad Capital",16 ,F-10,200000,24/12/2022
2,House 29275179,Double Storey House Available With Big Lawn F_7,House,For Rent,4,4,Islamabad,"F-7, Islamabad, Islamabad Capital",22.0,F-7,400000,24/12/2022
3,House 29666094,A Luxury House Available For Rent In F-7 Islamabad,House,For Rent,6,6,Islamabad,"F-7, Islamabad, Islamabad Capital",20.0,F-7,600000,24/12/2022
4,House 29734383,F7 Brand New Luxury 6 Bedrooms House For Rent,House,For Rent,6,6,Islamabad,"F-7, Islamabad, Islamabad Capital",20.0,F-7,400000,24/12/2022
5,House 29805100,Fully Renovated Triple Story 6 Beds Luxury House For Rent In F-6,House,For Rent,6,6,Islamabad,"F-6, Islamabad, Islamabad Capital",20.0,F-6,500000,24/12/2022
6,House 29833066,"Reasonably-Priced 4500  Square Feet House In F-7, Islamabad Is Available As Of Now",House,For Rent,5,5,Islamabad,"F-7, Islamabad, Islamabad Capital",20.0,F-7,400000,24/12/2022
7,House 43177525,Luxury House On Extremely Prime Location Available For Rent  In Islamabad Pakistan,House,For Rent,6,8,Islamabad,"F-8, Islamabad, Islamabad Capital",26.0,F-8,1200000,28/12/2022
8,House 43177520,Luxury House On Extremely prime Location Available For Rent  in Islamabad Pakistan,House,For Rent,6,8,Islamabad,"F-6, Islamabad, Islamabad Capital",26.0,F-6,1200000,28/12/2022
9,House 42360577,01 Kanal Fully Furnished House Available In Pakistan Town Phase -1,House,For Rent,5,4,Islamabad,"Pakistan Town, Islamabad, Islamabad Capital",20.0,Pakistan Town,200000,28/12/2022
10,House 42624129,30*70 Beautiful Full House Available In Pwd Block-c Near Gourmet Baker's,House,For Rent,6,4,Islamabad,"PWD Housing Scheme, Islamabad, Islamabad Capital",10 ,PWD Housing Scheme,85000,28/12/2022
11,House 43177085,Brand New Luxury House with Beautiful location,House,For Rent,5,4,Islamabad,"F-6, Islamabad, Islamabad Capital",20.0,F-6,500000,28/12/2022
12,House 43177077,Brand New Luxury House with Beautiful location,House,For Rent,5,4,Islamabad,"F-7, Islamabad, Islamabad Capital",20.0,F-7,500000,28/12/2022
13,House 43177068,Brand New Luxury House with Beautiful location,House,For Rent,5,4,Islamabad,"F-8, Islamabad, Islamabad Capital",20.0,F-8,500000,28/12/2022
14,House 42712980,7 Marla Ground  With Basement Full Furnished House For Rent In G 13,House,For Rent,5,5,Islamabad,"G-13, Islamabad, Islamabad Capital",8 ,G-13,95000,28/12/2022
15,Flat 43166189,Furnished Flat For Rent In Gulberg Greens Islamabad,Flat,For Rent,2,2,Islamabad,"Gulberg, Islamabad, Islamabad Capital",3.8 ,Gulberg,85000,27/12/2022
