,Property_ID,Property_Name,Property_Type,Property_Purpose,Baths,Bedrooms,City,Property_Location,Area,Area_Name,Properity_Price,Date_Added
0,Flat 43168361,Brand New 10 Marla 3 Bed Flat For Sale Askari 11 Lahore,Flat,For Sale,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,40000000,28/12/2022
1,Flat 41026628,A Luxury 3 Bed Central Court Yard View Flat Up For Sale,Flat,For Sale,3,3,Lahore,"Main Canal Bank Road, Lahore, Punjab",7.2 ,Main Canal Bank Road,30000000,28/12/2022
2,Flat 27004149,10 Marla 3 Bed Flat For Sale Askari 11 Lahore,Flat,For Sale,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,30000000,1 day
3,Flat 38545116,One Bed Luxury Apartment For Sale On 4 Years Installments,Flat,For Sale,1,1,Lahore,"Bahria Orchard, Lahore, Punjab",2.8 ,Bahria Orchard,8300000,1 day
4,Flat 42674463,Luxury Apartment For Sale In SQ Mall Booking Starting From 5 lac,Flat,For Sale,1,1,Lahore,"Bahria Orchard, Lahore, Punjab",2.6 ,Bahria Orchard,7700000,1 day
5,Flat 43153647,A Prime Location 500 Square Feet Flat Has Landed On Market In Bahria Town - Nishtar Block Of Lahore,Flat,For Sale,1,1,Lahore,"Bahria Town, Lahore, Punjab",2.2 ,Bahria Town,6500000,28/12/2022
6,Flat 43172430,2 Bed Automated Apartment For Sale On Easy Installments,Flat,For Sale,2,2,Lahore,"Bahria Town, Lahore, Punjab",3.6 ,Bahria Town,9500000,28/12/2022
7,Flat 43172401,Waterfall By Alif Holdings Apartments On Installments,Flat,For Sale,1,1,Lahore,"Raiwind Road, Lahore, Punjab",2.7 ,Raiwind Road,7000000,28/12/2022
8,Flat 42557006,1 Bed Luxury Apartments Available For Sale On Easy Installment Plan In Bahria Town Lahore,Flat,For Sale,1,1,Lahore,"Bahria Town, Lahore, Punjab",1.7 ,Bahria Town,5000000,28/12/2022
9,Flat 43067106,Beautiful Prime Location 2 Bed Luxury Apartment Available For Sale On 2.5 Years Easy Installment Plan In Bahria Town Lahore,Flat,For Sale,2,2,Lahore,"Bahria Town, Lahore, Punjab",4.3 ,Bahria Town,20000000,28/12/2022
10,Flat 43168765,One Bed Brand New Furnished Apartment For Sale In Sector E Bahria Town,Flat,For Sale,1,1,Lahore,"Bahria Town, Lahore, Punjab",2.3 ,Bahria Town,6800000,1 hour
11,Flat 40627795,Vip Renovated Flat For Sale Askari 11 Lahore,Flat,For Sale,3,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,40000000,28/12/2022
12,Flat 42046769,12 Marla 4 Bed Ground Floor Flat For Sale In Very Good Condition & Remarkable Lawn,Flat,For Sale,6,4,Lahore,"Askari, Lahore, Punjab",12 ,Askari,40000000,28/12/2022
13,Flat 42532178,7 Marla Ground Floor Most Beautiful Apartment For Sale In Icon Velley,Flat,For Sale,3,3,Lahore,"Raiwind Road, Lahore, Punjab",7 ,Raiwind Road,8500000,28/12/2022
14,Flat 43020143,7th Floor Luxury Apartment For Sale At Prime Location In Askari 11,Flat,For Sale,4,3,Lahore,"Askari, Lahore, Punjab",10 ,Askari,30000000,28/12/2022
